time_d,temperature_c,relative_humidity_pct
2.918017600741087,21.03574,57.819
2.9597035664659597,21.03282,57.54137
3.0013895321908324,21.02838,57.26601
3.043075497915705,20.97969,57.05637
3.084761463640578,20.931,56.84673
3.1264474293654505,20.88231,56.6371
3.168133395090323,20.83362,56.42746
3.209819360815196,20.78493,56.21782
3.2515053265400686,20.73624,56.00818
3.2931912922649413,20.68755,55.79854
3.334877257989814,20.63886,55.5889
3.3765632237146868,20.59017,55.37926
3.4182491894395595,20.54148,55.16962
3.459935155164432,20.4928,54.95999
3.501621120889305,20.44411,54.75035
3.5433070866141776,20.39542,54.54071
3.5849930523390503,20.34673,54.33107
3.626679018063923,20.29804,54.12143
3.6683649837887957,20.24935,53.91179
3.7100509495136684,20.20066,53.70215
3.751736915238541,20.15197,53.49252
3.793422880963414,20.10328,53.28288
3.8351088466882866,20.05459,53.07324
3.8767948124131593,20.0059,52.8636
3.918480778138032,19.95721,52.65396
3.9601667438629047,19.90853,52.44432
4.001852709587777,19.86073,52.24539
4.04353867531265,19.83226,52.27661
4.085224641037523,19.80379,52.30783
4.1269106067623955,19.77532,52.33906
4.168596572487268,19.74685,52.37028
4.210282538212141,19.71838,52.4015
4.251968503937014,19.68991,52.43272
4.293654469661886,19.66143,52.46395
4.335340435386759,19.63296,52.49517
4.377026401111632,19.60449,52.52639
4.4187123668365045,19.57602,52.55762
4.460398332561377,19.54755,52.58884
4.50208429828625,19.51908,52.62006
4.543770264011123,19.4906,52.65128
4.585456229735995,19.46213,52.68251
4.627142195460868,19.43366,52.71373
4.668828161185741,19.40519,52.74495
4.710514126910613,19.37672,52.77618
4.752200092635486,19.34825,52.8074
4.793886058360359,19.31978,52.83862
4.835572024085232,19.2913,52.86984
4.877257989810104,19.26283,52.90107
4.918943955534977,19.23436,52.93229
4.96062992125985,19.20589,52.96351
5.002315886984722,19.18347,53.01428
5.044001852709595,19.26384,53.39727
5.085687818434468,19.34421,53.78026
5.1273737841593405,19.42458,54.16325
5.169059749884213,19.50495,54.54624
5.210745715609086,19.58532,54.92923
5.252431681333959,19.66569,55.31222
5.294117647058831,19.74606,55.69521
5.335803612783704,19.82643,56.0782
5.377489578508577,19.9068,56.46119
5.4191755442334495,19.98717,56.84418
5.460861509958322,20.06754,57.22717
5.502547475683195,20.14791,57.61015
5.544233441408068,20.22828,57.99314
5.58591940713294,20.30865,58.37613
5.627605372857813,20.38902,58.75912
5.669291338582686,20.46939,59.14211
5.7109773043075585,20.54976,59.5251
5.752663270032431,20.63013,59.90809
5.794349235757304,20.71051,60.29108
5.836035201482177,20.79088,60.67407
5.877721167207049,20.87125,61.05706
5.919407132931922,20.95162,61.44005
5.961093098656795,21.03199,61.82304
6.002779064381667,21.12039,62.16068
6.04446503010654,21.32128,61.86335
6.086150995831413,21.52216,61.56603
6.1278369615562855,21.72305,61.2687
6.169522927281158,21.92393,60.97138
6.211208893006031,22.12482,60.67405
6.252894858730904,22.3257,60.37673
6.294580824455776,22.52658,60.0794
6.336266790180649,22.72747,59.78208
6.377952755905522,22.92835,59.48475
6.4196387216303945,23.12924,59.18743
6.461324687355267,23.33012,58.8901
6.50301065308014,23.53101,58.59278
6.544696618805013,23.73189,58.29545
6.586382584529885,23.93278,57.99813
6.628068550254758,24.13366,57.7008
6.669754515979631,24.33455,57.40348
6.7114404817045035,24.53543,57.10615
6.753126447429376,24.73632,56.80883
6.794812413154249,24.9372,56.5115
6.836498378879122,25.13809,56.21418
6.878184344603994,25.33897,55.91685
6.919870310328867,25.53986,55.61953
6.96155627605374,25.74074,55.3222
7.003242241778612,25.94109,55.03446
7.044928207503485,26.13514,54.86036
7.086614173228358,26.32919,54.68626
7.128300138953231,26.52324,54.51215
7.169986104678103,26.71729,54.33805
7.211672070402976,26.91133,54.16395
7.253358036127849,27.10538,53.98985
7.295044001852721,27.29943,53.81575
7.336729967577594,27.49348,53.64165
7.378415933302467,27.68753,53.46755
7.4201018990273395,27.88157,53.29344
7.461787864752212,28.07562,53.11934
7.503473830477085,28.26967,52.94524
7.545159796201958,28.46372,52.77114
7.58684576192683,28.65777,52.59704
7.628531727651703,28.85182,52.42294
7.670217693376576,29.04586,52.24884
7.7119036591014485,29.23991,52.07473
7.753589624826321,29.43396,51.90063
7.795275590551194,29.62801,51.72653
7.836961556276067,29.82206,51.55243
7.878647522000939,30.0161,51.37833
7.920333487725812,30.21015,51.20423
7.962019453450685,30.4042,51.03013
8.003705419175557,30.59837,50.85881
8.045391384900428,30.79379,50.7161
8.0870773506253,30.98922,50.57339
8.128763316350172,31.18464,50.43068
8.170449282075044,31.38007,50.28797
8.212135247799916,31.57549,50.14525
8.253821213524787,31.77091,50.00254
8.29550717924966,31.96634,49.85983
8.337193144974531,32.16176,49.71712
8.378879110699403,32.35719,49.57441
8.420565076424275,32.55261,49.4317
8.462251042149147,32.74803,49.28898
8.503937007874018,32.94346,49.14627
8.54562297359889,33.13888,49.00356
8.587308939323762,33.3343,48.86085
8.628994905048634,33.52973,48.71814
8.670680870773506,33.72515,48.57542
8.712366836498378,33.92058,48.43271
8.75405280222325,34.116,48.29
8.795738767948121,34.31142,48.14729
8.837424733672993,34.50685,48.00458
8.879110699397865,34.70227,47.86186
8.920796665122737,34.89769,47.71915
8.962482630847608,35.09312,47.57644
9.00416859657248,35.32992,47.44039
9.045854562297352,35.93916,47.36434
9.087540528022224,36.5484,47.28828
9.129226493747096,37.15765,47.21223
9.170912459471968,37.76689,47.13617
9.21259842519684,38.37613,47.06011
9.254284390921711,38.98537,46.98406
9.295970356646583,39.59461,46.908
9.337656322371455,40.20385,46.83195
9.379342288096327,40.81309,46.75589
9.421028253821198,41.42233,46.67983
9.46271421954607,42.03157,46.60378
9.504400185270942,42.64081,46.52772
9.546086150995814,43.25005,46.45167
9.587772116720686,43.85929,46.37561
9.629458082445558,44.46853,46.29955
9.67114404817043,45.07777,46.2235
9.712830013895301,45.68701,46.14744
9.754515979620173,46.29625,46.07139
